Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
[8]      0.0    0.00    0.00    2000         std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::operator[](unsigned long) const [8]
-----------------------------------------------
                0.00    0.00    2000/2000        operator*(std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > const&, std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > const&) [136]
[9]      0.0    0.00    0.00    2000         std::vector<double, std::allocator<double> >::operator[](unsigned long) const [9]
-----------------------------------------------
                0.00    0.00       1/1161        main [6]
                0.00    0.00      60/1161        id(unsigned int) [98]
                0.00    0.00    1100/1161        operator*(std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > const&, std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > const&) [136]
[10]     0.0    0.00    0.00    1161         std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::operator[](unsigned long) [10]
-----------------------------------------------
                0.00    0.00       1/1131        main [6]
                0.00    0.00      30/1131        id(unsigned int) [98]
                0.00    0.00    1100/1131        operator*(std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > const&, std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > const&) [136]
[11]     0.0    0.00    0.00    1131         std::vector<double, std::allocator<double> >::operator[](unsigned long) [11]
-----------------------------------------------
                0.00    0.00     210/210         std::_Niter_base<double*>::iterator_type std::__niter_base<double*>(double*) [13]
[12]     0.0    0.00    0.00     210         std::_Iter_base<double*, false>::_S_base(double*) [12]
-----------------------------------------------
                0.00    0.00      30/210         double* std::fill_n<double*, unsigned long, double>(double*, unsigned long, double const&) [76]
                0.00    0.00     180/210         double* std::__copy_move_a2<true, double*, double*>(double*, double*, double*) [37]
[13]     0.0    0.00    0.00     210         std::_Niter_base<double*>::iterator_type std::__niter_base<double*>(double*) [13]
                0.00    0.00     210/210         std::_Iter_base<double*, false>::_S_base(double*) [12]
-----------------------------------------------
                0.00    0.00      20/200         bool std::operator==<double, std::allocator<double> >(std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> > const&) [86]
                0.00    0.00      60/200         std::vector<double, std::allocator<double> >::resize(unsigned long, double const&) [68]
                0.00    0.00     120/200         std::vector<double, std::allocator<double> >::_M_check_len(unsigned long, char const*) const [52]
[14]     0.0    0.00    0.00     200         std::vector<double, std::allocator<double> >::size() const [14]
-----------------------------------------------
                0.00    0.00      30/180         std::vector<double, std::allocator<double> >::end() [66]
                0.00    0.00      60/180         __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::operator+(long) const [27]
                0.00    0.00      90/180         std::vector<double, std::allocator<double> >::begin() [25]
[15]     0.0    0.00    0.00     180         __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::__normal_iterator(double* const&) [15]
-----------------------------------------------
